Matching Log
------------
iter=49   dual_objective=-684186.875   dual_grad_norm=5033.5888671875   reg_penalty=1981.1939697265625   dual_val_times_grad=1721.4010009765625   max_pos_slack=330.6544189453125   sum_pos_slack=58846.9375
iter=50   dual_objective=-684122.3125   dual_grad_norm=5023.25390625   reg_penalty=2001.7469482421875   dual_val_times_grad=1764.8973388671875   max_pos_slack=327.9278869628906   sum_pos_slack=58410.58203125
iter=51   dual_objective=-684059.25   dual_grad_norm=5013.361328125   reg_penalty=2022.156494140625   dual_val_times_grad=1808.36767578125   max_pos_slack=325.4349060058594   sum_pos_slack=57983.3828125
iter=52   dual_objective=-683994.6875   dual_grad_norm=5003.88427734375   reg_penalty=2042.4127197265625   dual_val_times_grad=1851.8370361328125   max_pos_slack=323.2300720214844   sum_pos_slack=57566.1328125
iter=53   dual_objective=-683931.3125   dual_grad_norm=4994.79736328125   reg_penalty=2062.5087890625   dual_val_times_grad=1895.3253173828125   max_pos_slack=321.0504150390625   sum_pos_slack=57157.0703125
iter=54   dual_objective=-683868.125   dual_grad_norm=4986.07763671875   reg_penalty=2082.44873046875   dual_val_times_grad=1938.8427734375   max_pos_slack=318.9861145019531   sum_pos_slack=56755.4375
iter=55   dual_objective=-683805.0   dual_grad_norm=4977.6962890625   reg_penalty=2102.255126953125   dual_val_times_grad=1982.3790283203125   max_pos_slack=316.9925842285156   sum_pos_slack=56360.16015625
iter=56   dual_objective=-683741.4375   dual_grad_norm=4969.63623046875   reg_penalty=2121.919677734375   dual_val_times_grad=2025.949462890625   max_pos_slack=315.0911865234375   sum_pos_slack=55973.8203125
iter=57   dual_objective=-683678.5   dual_grad_norm=4961.884765625   reg_penalty=2141.43701171875   dual_val_times_grad=2069.5751953125   max_pos_slack=313.31884765625   sum_pos_slack=55595.2734375
iter=58   dual_objective=-683615.125   dual_grad_norm=4954.41015625   reg_penalty=2160.848388671875   dual_val_times_grad=2113.222412109375   max_pos_slack=311.5351867675781   sum_pos_slack=55223.6015625
iter=59   dual_objective=-683552.0625   dual_grad_norm=4947.208984375   reg_penalty=2180.1103515625   dual_val_times_grad=2156.9453125   max_pos_slack=309.8157958984375   sum_pos_slack=54858.85546875
iter=60   dual_objective=-683489.875   dual_grad_norm=4940.25244140625   reg_penalty=2199.274169921875   dual_val_times_grad=2200.701171875   max_pos_slack=308.0762634277344   sum_pos_slack=54501.65625
iter=61   dual_objective=-683426.5625   dual_grad_norm=4933.53173828125   reg_penalty=2218.326904296875   dual_val_times_grad=2244.50830078125   max_pos_slack=306.41424560546875   sum_pos_slack=54151.5703125
iter=62   dual_objective=-683363.6875   dual_grad_norm=4927.0419921875   reg_penalty=2237.251953125   dual_val_times_grad=2288.3955078125   max_pos_slack=304.83551025390625   sum_pos_slack=53807.34375
iter=63   dual_objective=-683301.4375   dual_grad_norm=4920.7734375   reg_penalty=2256.04345703125   dual_val_times_grad=2332.374267578125   max_pos_slack=303.2388916015625   sum_pos_slack=53469.90625
iter=64   dual_objective=-683238.5   dual_grad_norm=4914.712890625   reg_penalty=2274.706787109375   dual_val_times_grad=2376.4482421875   max_pos_slack=301.8429870605469   sum_pos_slack=53137.7265625
iter=65   dual_objective=-683175.75   dual_grad_norm=4908.8515625   reg_penalty=2293.229736328125   dual_val_times_grad=2420.634521484375   max_pos_slack=300.4565124511719   sum_pos_slack=52811.0078125
iter=66   dual_objective=-683113.125   dual_grad_norm=4903.17138671875   reg_penalty=2311.650146484375   dual_val_times_grad=2464.90234375   max_pos_slack=299.05548095703125   sum_pos_slack=52489.21875
iter=67   dual_objective=-683050.25   dual_grad_norm=4897.6630859375   reg_penalty=2329.980224609375   dual_val_times_grad=2509.248291015625   max_pos_slack=297.67999267578125   sum_pos_slack=52172.98828125
iter=68   dual_objective=-682987.6875   dual_grad_norm=4892.32421875   reg_penalty=2348.21044921875   dual_val_times_grad=2553.687255859375   max_pos_slack=296.46136474609375   sum_pos_slack=51863.453125
iter=69   dual_objective=-682924.8125   dual_grad_norm=4887.14453125   reg_penalty=2366.33349609375   dual_val_times_grad=2598.230712890625   max_pos_slack=295.4193420410156   sum_pos_slack=51558.4453125
iter=70   dual_objective=-682862.4375   dual_grad_norm=4882.1181640625   reg_penalty=2384.355712890625   dual_val_times_grad=2642.88037109375   max_pos_slack=294.6301574707031   sum_pos_slack=51259.3515625
iter=71   dual_objective=-682799.4375   dual_grad_norm=4877.24658203125   reg_penalty=2402.2255859375   dual_val_times_grad=2687.689453125   max_pos_slack=294.2296142578125   sum_pos_slack=50964.81640625
iter=72   dual_objective=-682736.625   dual_grad_norm=4872.51904296875   reg_penalty=2419.97216796875   dual_val_times_grad=2732.638671875   max_pos_slack=293.8238525390625   sum_pos_slack=50675.0703125
iter=73   dual_objective=-682674.0625   dual_grad_norm=4867.93212890625   reg_penalty=2437.59130859375   dual_val_times_grad=2777.73779296875   max_pos_slack=293.41363525390625   sum_pos_slack=50388.75390625
iter=74   dual_objective=-682611.375   dual_grad_norm=4863.47705078125   reg_penalty=2455.09375   dual_val_times_grad=2822.9814453125   max_pos_slack=292.9981689453125   sum_pos_slack=50107.14453125
iter=75   dual_objective=-682548.625   dual_grad_norm=4859.14892578125   reg_penalty=2472.478515625   dual_val_times_grad=2868.373779296875   max_pos_slack=292.57763671875   sum_pos_slack=49829.99609375
iter=76   dual_objective=-682485.9375   dual_grad_norm=4854.94482421875   reg_penalty=2489.7353515625   dual_val_times_grad=2913.931640625   max_pos_slack=292.1521301269531   sum_pos_slack=49557.0546875
iter=77   dual_objective=-682423.375   dual_grad_norm=4850.857421875   reg_penalty=2506.87060546875   dual_val_times_grad=2959.65185546875   max_pos_slack=291.7215270996094   sum_pos_slack=49289.21484375
iter=78   dual_objective=-682360.0   dual_grad_norm=4846.88037109375   reg_penalty=2523.9013671875   dual_val_times_grad=3005.523193359375   max_pos_slack=291.2855224609375   sum_pos_slack=49025.640625
iter=79   dual_objective=-682297.1875   dual_grad_norm=4843.01123046875   reg_penalty=2540.818115234375   dual_val_times_grad=3051.5615234375   max_pos_slack=290.84466552734375   sum_pos_slack=48765.70703125
iter=80   dual_objective=-682234.375   dual_grad_norm=4839.24755859375   reg_penalty=2557.609130859375   dual_val_times_grad=3097.780517578125   max_pos_slack=290.39862060546875   sum_pos_slack=48510.15625
iter=81   dual_objective=-682171.1875   dual_grad_norm=4835.578125   reg_penalty=2574.3173828125   dual_val_times_grad=3144.14306640625   max_pos_slack=289.94732666015625   sum_pos_slack=48258.09375
iter=82   dual_objective=-682107.9375   dual_grad_norm=4831.9990234375   reg_penalty=2590.94677734375   dual_val_times_grad=3190.6494140625   max_pos_slack=289.4908447265625   sum_pos_slack=48009.15625
iter=83   dual_objective=-682044.9375   dual_grad_norm=4828.51025390625   reg_penalty=2607.474853515625   dual_val_times_grad=3237.3251953125   max_pos_slack=289.0302734375   sum_pos_slack=47763.578125
iter=84   dual_objective=-681981.5625   dual_grad_norm=4825.109375   reg_penalty=2623.899169921875   dual_val_times_grad=3284.17529296875   max_pos_slack=288.5633544921875   sum_pos_slack=47521.37109375
iter=85   dual_objective=-681918.25   dual_grad_norm=4821.79345703125   reg_penalty=2640.213623046875   dual_val_times_grad=3331.210693359375   max_pos_slack=288.09234619140625   sum_pos_slack=47283.6015625
iter=86   dual_objective=-681854.6875   dual_grad_norm=4818.52001953125   reg_penalty=2656.381591796875   dual_val_times_grad=3378.174560546875   max_pos_slack=287.02081298828125   sum_pos_slack=47049.1796875
iter=87   dual_objective=-681791.25   dual_grad_norm=4815.19677734375   reg_penalty=2672.271240234375   dual_val_times_grad=3424.452880859375   max_pos_slack=283.8778381347656   sum_pos_slack=46816.3671875
iter=88   dual_objective=-681727.6875   dual_grad_norm=4811.92041015625   reg_penalty=2688.007568359375   dual_val_times_grad=3470.646484375   max_pos_slack=280.12994384765625   sum_pos_slack=46586.95703125
iter=89   dual_objective=-681663.75   dual_grad_norm=4808.6865234375   reg_penalty=2703.595947265625   dual_val_times_grad=3516.71826171875   max_pos_slack=275.71539306640625   sum_pos_slack=46360.984375
iter=90   dual_objective=-681600.375   dual_grad_norm=4805.4892578125   reg_penalty=2719.069091796875   dual_val_times_grad=3562.635986328125   max_pos_slack=270.6426696777344   sum_pos_slack=46137.6015625
iter=91   dual_objective=-681536.5625   dual_grad_norm=4802.33642578125   reg_penalty=2734.434326171875   dual_val_times_grad=3608.443115234375   max_pos_slack=265.0194396972656   sum_pos_slack=45916.66015625
iter=92   dual_objective=-681472.9375   dual_grad_norm=4799.22705078125   reg_penalty=2749.701904296875   dual_val_times_grad=3654.11474609375   max_pos_slack=258.8265686035156   sum_pos_slack=45698.39453125
iter=93   dual_objective=-681408.625   dual_grad_norm=4796.16259765625   reg_penalty=2764.87890625   dual_val_times_grad=3699.66259765625   max_pos_slack=252.10293579101562   sum_pos_slack=45483.84375
iter=94   dual_objective=-681345.25   dual_grad_norm=4793.14501953125   reg_penalty=2779.953857421875   dual_val_times_grad=3745.08984375   max_pos_slack=244.83779907226562   sum_pos_slack=45272.125
iter=95   dual_objective=-681281.5   dual_grad_norm=4790.18701171875   reg_penalty=2794.966796875   dual_val_times_grad=3790.508544921875   max_pos_slack=237.34414672851562   sum_pos_slack=45063.27734375
iter=96   dual_objective=-681217.3125   dual_grad_norm=4787.29150390625   reg_penalty=2809.89501953125   dual_val_times_grad=3835.97021484375   max_pos_slack=229.85147094726562   sum_pos_slack=44857.203125
